# CeSAM : ASTROPHYSIC DATA CENTER IN MARSEILLE
# Head : C. Surace, Scientific head : V. Le Brun, Information system head : C. Moreau
# VVDS project 
# It these data have been of any use for your research, please include the following acknowledgment :
# This research uses data from the VIMOS VLT Deep Survey, obtained from the VVDS database operated by Cesam, Laboratoire d'Astrophysique de Marseille, France.
# and refer to the paper: 
# Le Fèvre et al., 2013, arXiv:1307.0545
# Search in All F02 field AND MagI between 17.5 and 24.75 AND Spectroscopic Redshift between 0.5 and 0.9 AND  Spectroscopic Redshift quality flag  in (2,3,4,9,22,23,24,29)
# NUM 	ID-IAU 	ALPHA 	DELTA 	Z 	ZFLAGS 	MAGI 	MAG_U_CFH12K 	MAGERR_AUTO_U 	MAG_B_CFH12K 	MAGERR_AUTO_B 	MAG_V_CFH12K 	MAGERR_AUTO_V 	MAG_R_CFH12K 	MAGERR_AUTO_R 	MAG_I_CFH12K 	MAGERR_AUTO_I 	MAG_U_CFHTLS 	MAGERR_AUTO_U 	MAG_G_CFHTLS 	MAGERR_AUTO_G 	MAG_R_CFHTLS 	MAGERR_AUTO_R 	MAG_I_CFHTLS 	MAGERR_AUTO_I 	MAG_Z_CFHTLS 	MAGERR_AUTO_Z 	MAG_AUTO_J_WIRDS 	MAGERR_AUTO_J_WIRDS 	MAG_AUTO_H_WIRDS 	MAGERR_AUTO_H_WIRDS 	MAG_AUTO_K_WIRDS 	MAGERR_AUTO_K_WIRDS 	AGE 	E(B-V) 	STELLAR_MASS 	SFR 	 	ZMETHOD 	EW_OII_3727 	D_EW_OII_3727 	EW_OIII_5007 	D_EW_OIII_5007 	EW_HALPHA 	D_EW_HALPHA 	EW_HBETA 	D_EW_HBETA 	 
020087080	VVDS-J022750.14-044907.1	36.9589473	-4.8186494	0.8428	9	23.854	-99.9	-99.9	24.4614	0.1984	24.4006	0.2014	23.6061	0.0959	23.854	0.1458	24.733602	0.027800	24.491940	0.015900	24.367269	0.018800	23.799584	0.015100	23.633401	0.031500	-99.900000	-99.900000	-99.900000	-99.900000	-99.900000	-99.900000	101518000	0.300	8.83162	0.926878	4	V	-69.55	10.89	0.00	-9.99	0.00	-9.99	0.00	-9.99
020087083	VVDS-J022619.50-044908.2	36.5812912	-4.8189565	0.8025	4	23.2466	-99.9	-99.9	24.6659	0.1161	24.1223	0.0845	23.8171	0.0772	23.2466	0.0608	24.590740	0.025300	24.307083	0.013000	23.908769	0.012000	23.225974	0.010000	22.930739	0.017000	23.073315	0.116800	22.424008	0.062400	22.692083	0.102800	9999980	0.500	8.88904	1.91057	4	K	-49.40	3.34	-30.17	16.81	0.00	-9.99	-19.24	17.07
020087089	VVDS-J022631.87-044910.3	36.6328303	-4.8195459	0.5874	2	22.8352	-99.9	-99.9	25.8106	0.3281	24.3014	0.116	23.5935	0.0795	22.8352	0.0615	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	2300000000	0.000	9.53815	-8.19286	2	V	-1.21	2.98	-2.49	4.64	0.00	-9.99	-5.45	-2.00
020087292	VVDS-J022515.36-044908.8	36.3140141	-4.8191331	0.7282	4	22.5007	-99.9	-99.9	23.9403	0.0543	23.5163	0.05	23.0536	0.0416	22.5007	0.0403	23.984531	0.013100	23.613884	0.010000	23.146990	0.010000	22.558649	0.010000	22.346160	0.010000	22.275083	0.029000	22.044278	0.028100	21.918002	0.026300	227272000	0.200	9.33104	0.540622	4	K	-40.85	10.39	-30.35	8.76	0.00	-9.99	-18.32	3.80
020087377	VVDS-J022636.78-044906.1	36.6532733	-4.8183785	0.8904	2	22.2303	-99.9	-99.9	99.99	99.99	25.0479	0.1694	23.7594	0.0735	22.2303	0.029	28.260239	0.848500	25.348220	0.039000	23.662668	0.011000	22.419815	0.010000	21.667768	0.010000	20.928046	0.015500	20.449382	0.010700	20.153343	0.010000	2100000000	0.100	10.6879	-0.590366	1	K	-3.16	1.91	0.00	-9.99	0.00	-9.99	-0.12	2.44
020087557	VVDS-J022531.49-044906.6	36.3812295	-4.8185099	0.8774	4	21.7004	-99.9	-99.9	23.5606	0.0439	23.031	0.0371	22.6798	0.0328	21.7004	0.0229	23.777047	0.010900	23.243919	0.010000	22.745483	0.010000	21.884708	0.010000	21.479756	0.010000	20.925510	0.013800	20.608314	0.010000	20.255402	0.010000	227272000	0.400	10.2718	1.48138	3	K	-12.67	1.91	0.00	-9.99	0.00	-9.99	-5.74	3.10
020087676	VVDS-J022801.89-044902.9	37.0079109	-4.8174915	0.8979	2	23.3053	-99.9	-99.9	27.6648	1.0834	25.1331	0.162	24.6322	0.131	23.3053	0.0571	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	6250000000	0.000	10.3594	-24.4971	-99.9	E	-4.84	2.47	0.00	-9.99	0.00	-9.99	-21.87	6.45
020087744	VVDS-J022730.32-044906.4	36.8763404	-4.8184631	0.8694	2	23.0206	-99.9	-99.9	24.3821	0.0976	23.9809	0.0761	23.8268	0.0809	23.0206	0.0566	24.215124	0.020000	23.929878	0.011300	23.647487	0.011500	22.959191	0.010000	22.796260	0.018100	24.350584	0.417600	22.717066	0.099800	23.434107	0.237700	286119000	0.100	9.26322	0.206441	4	K	-32.68	4.42	0.00	-9.99	0.00	-9.99	-3.34	13.08
020087755	VVDS-J022637.59-044902.6	36.6566385	-4.817402	0.8019	4	23.3474	-99.9	-99.9	24.9909	0.1525	24.4654	0.1156	23.8342	0.0825	23.3474	0.0739	24.629604	0.023800	24.381754	0.012900	23.959090	0.011600	23.481453	0.010400	23.221050	0.020900	23.337950	0.106900	23.085150	0.090000	23.353387	0.140700	9999980	0.400	8.56866	1.56891	3	K	-114.18	4.07	-206.89	50.46	0.00	-9.99	-48.24	17.12
020087811	VVDS-J022623.49-044904.1	36.5978941	-4.8178257	0.6109	2	22.4234	-99.9	-99.9	24.7427	0.1459	23.5339	0.0613	22.8547	0.0425	22.4234	0.0357	25.570993	0.068500	23.937662	0.010100	22.970998	0.010000	22.433092	0.010000	22.248582	0.010000	21.926654	0.039400	21.823600	0.036400	21.956141	0.053100	904792000	0.000	9.39481	-2.31973	3	V	-0.97	2.43	-4.24	3.87	0.00	-9.99	-1.18	3.78
020087885	VVDS-J022650.74-044903.3	36.7114475	-4.8176008	0.7017	3	22.5336	-99.9	-99.9	23.8602	0.0694	23.4779	0.0555	23.0201	0.045	22.5336	0.0524	24.044562	0.014200	23.690407	0.010000	23.161031	0.010000	22.537345	0.010000	22.348140	0.010000	22.342316	0.054900	22.447021	0.068500	21.799925	0.044100	321031000	0.100	9.30376	0.0914704	4	K	-30.53	1.52	-12.56	3.67	0.00	-9.99	-8.12	3.64
020088050	VVDS-J022623.12-044904.5	36.596351	-4.8179193	0.5194	4	20.7994	-99.9	-99.9	24.1517	0.0992	22.6107	0.0363	21.4911	0.0201	20.7994	0.0138	25.099999	0.044900	23.178290	0.010000	21.758344	0.010000	20.911553	0.010000	20.596752	0.010000	20.181137	0.010000	19.809588	0.010000	19.590934	0.010000	2300000000	0.000	10.3624	-7.38001	-99.9	K	-4.87	-2.00	-1.73	-2.00	0.00	-9.99	-0.39	-2.00
020088164	VVDS-J022550.47-044859.3	36.4603136	-4.8164781	0.5402	3	23.9349	-99.9	-99.9	25.9236	0.2457	24.9506	0.1235	24.0473	0.0755	23.9349	0.1258	25.945823	0.070500	25.244300	0.024900	24.249530	0.013200	23.797994	0.011900	23.802330	0.029300	23.716867	0.254900	24.893742	0.520100	23.366105	0.116300	508801000	0.000	8.55297	-1.47070	3	K	-30.26	3.30	-37.64	10.03	0.00	-9.99	-9.32	5.69
